                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.52119,                0.39024,                0.86795,                0.99671,                      1,                  0.995,                 0.8663,                0.58072,                0.34374,                0.92237,              0.0015327,              0.0015327,              0.0015327
                    120,                0.48454,                0.39078,                0.85483,                0.99687,                      1,                  0.995,                0.86723,                0.55208,                0.33466,                0.92309,              0.0015288,              0.0015288,              0.0015288
                    121,                 0.4881,                0.40295,                0.86494,                 0.9967,                      1,                  0.995,                 0.8588,                0.53162,                0.34427,                 0.9255,              0.0015248,              0.0015248,              0.0015248
                    122,                0.51575,                0.44074,                 0.8941,                0.99593,                      1,                  0.995,                0.84532,                0.57514,                0.33373,                0.94078,              0.0015208,              0.0015208,              0.0015208
                    123,                0.49211,                0.38642,                 0.8567,                0.99552,                      1,                  0.995,                0.84949,                0.59149,                0.33753,                 0.9513,              0.0015169,              0.0015169,              0.0015169
                    124,                0.45338,                0.36654,                0.82554,                0.99587,                      1,                  0.995,                0.86005,                0.56298,                0.32467,                0.94412,              0.0015129,              0.0015129,              0.0015129
                    125,                 0.4801,                0.36541,                0.84759,                0.99627,                      1,                  0.995,                0.88688,                0.57419,                0.32137,                  0.946,               0.001509,               0.001509,               0.001509
                    126,                0.45003,                0.37987,                0.86775,                0.99638,                      1,                  0.995,                 0.8746,                0.57541,                0.32943,                0.94419,               0.001505,               0.001505,               0.001505
                    127,                0.46009,                0.39046,                0.85327,                0.99637,                      1,                  0.995,                0.87976,                0.55654,                0.32552,                0.93194,               0.001501,               0.001501,               0.001501
                    128,                0.47516,                  0.393,                0.87562,                0.99639,                      1,                  0.995,                0.87201,                0.56832,                0.31882,                0.92762,              0.0014971,              0.0014971,              0.0014971
                    129,                0.53875,                0.40305,                0.87285,                0.99638,                      1,                  0.995,                0.88727,                0.55252,                0.31364,                0.92254,              0.0014931,              0.0014931,              0.0014931
                    130,                0.49188,                0.39151,                0.87202,                0.99643,                      1,                  0.995,                 0.8839,                 0.5767,                 0.3184,                0.92852,              0.0014892,              0.0014892,              0.0014892
                    131,                0.47171,                0.38045,                0.86014,                0.99641,                      1,                  0.995,                0.87916,                0.58221,                0.32751,                0.94161,              0.0014852,              0.0014852,              0.0014852
                    132,                0.43041,                0.35251,                0.83344,                0.99642,                      1,                  0.995,                0.85447,                0.59359,                0.32097,                0.95403,              0.0014812,              0.0014812,              0.0014812
